id;datetime;temperature_2m_max;temperature_2m_min;shortwave_radiation_sum
1;2024-11-29 23:00:00;12.8;3.7;7.97
2;2024-11-30 23:00:00;14.4;6.6;4.62
3;2024-12-01 23:00:00;16.1;6.0;5.51
4;2024-12-02 23:00:00;12.9;5.8;7.2
5;2024-12-03 23:00:00;13.0;4.6;7.83
6;2024-12-04 23:00:00;10.5;2.5;6.81
7;2024-12-05 23:00:00;17.8;8.5;6.17
8;2024-12-06 23:00:00;14.9;7.5;3.19
9;2024-12-07 23:00:00;10.0;7.7;4.8
10;2024-12-08 23:00:00;11.2;6.1;4.19
11;2024-12-09 23:00:00;9.6;3.2;4.97
12;2024-12-10 23:00:00;10.2;3.9;5.38
13;2024-12-11 23:00:00;11.2;3.2;7.0
14;2024-12-12 23:00:00;6.8;3.7;1.7
15;2024-12-13 23:00:00;12.3;2.4;6.55
16;2024-12-14 23:00:00;11.4;4.2;7.24
17;2024-12-15 23:00:00;12.9;0.5;7.29
18;2024-12-16 23:00:00;11.7;2.1;5.55
19;2024-12-17 23:00:00;12.7;4.9;5.52
20;2024-12-18 23:00:00;12.8;4.6;3.7
21;2024-12-19 23:00:00;10.7;3.7;7.13
22;2024-12-20 23:00:00;13.4;3.1;5.71
23;2024-12-21 23:00:00;15.8;7.6;4.38
24;2024-12-22 23:00:00;9.4;5.3;6.07
25;2024-12-23 23:00:00;12.8;3.3;6.19
26;2024-12-24 23:00:00;12.7;3.9;7.11
27;2024-12-25 23:00:00;11.9;3.0;7.47
28;2024-12-26 23:00:00;11.3;-1.5;7.64
29;2024-12-27 23:00:00;10.6;-2.0;7.47
30;2024-12-28 23:00:00;11.5;-1.3;7.54
31;2024-12-29 23:00:00;9.4;-2.1;7.44
32;2024-12-30 23:00:00;8.4;-1.7;7.21
33;2024-12-31 23:00:00;7.2;-1.7;2.6
34;2025-01-01 23:00:00;12.1;5.1;5.44
35;2025-01-02 23:00:00;11.5;4.4;5.11
36;2025-01-03 23:00:00;7.2;2.4;1.72
37;2025-01-04 23:00:00;13.9;6.3;4.2
38;2025-01-05 23:00:00;15.6;10.5;6.77
39;2025-01-06 23:00:00;13.3;6.3;6.99
40;2025-01-07 23:00:00;15.4;5.3;7.28
41;2025-01-08 23:00:00;16.0;5.6;5.4
42;2025-01-09 23:00:00;13.2;5.8;2.63
43;2025-01-10 23:00:00;14.2;2.9;5.64
44;2025-01-11 23:00:00;7.5;-1.5;8.33
45;2025-01-12 23:00:00;8.4;-3.0;8.58
46;2025-01-13 23:00:00;7.7;-3.9;8.34
47;2025-01-14 23:00:00;8.8;-3.8;8.47
48;2025-01-15 23:00:00;10.5;1.1;7.52
49;2025-01-16 23:00:00;11.2;0.4;8.82
