iter	RMSE
0	32.0994336
1	29.87088068
2	27.79713044
3	25.96112398
4	24.32806508
5	22.91232219
6	21.60752753
7	20.46941669
8	19.46724462
9	18.58840092
10	17.81779215
11	17.15505562
12	16.52073116
13	16.00420324
14	15.55437118
15	15.16642911
16	14.82977827
17	14.54199317
18	14.29168071
19	14.0722383
20	13.87893741
21	13.66684146
22	13.49268311
23	13.36661197
24	13.23968346
25	13.05106189
26	12.87419524
27	12.77471089
28	12.69879228
29	12.62783851
30	12.52625011
31	12.45039505
32	12.36897376
33	12.30628372
34	12.24854207
35	12.18663298
36	12.12348003
37	12.06514122
38	12.02954582
39	11.99946979
40	11.9299191
41	11.90076879
42	11.87142085
43	11.79891386
44	11.76976355
45	11.72223106
46	11.68478676
47	11.65524775
48	11.62630933
49	11.60074466
50	11.56964433
51	11.53695697
52	11.51694091
53	11.49373161
54	11.47494956
55	11.4617828
56	11.43989903
57	11.41426577
58	11.40130881
59	11.38234403
60	11.36449517
61	11.35005464
62	11.3247193
63	11.30705394
64	11.28770335
65	11.26491895
66	11.24240829
67	11.22439776
68	11.21225736
69	11.1848613
70	11.17380489
71	11.15117199
72	11.13165082
73	11.09571854
74	11.06798346
75	11.05346971
76	11.03077142
77	11.01824923
78	11.00403857
79	10.99440218
80	10.96663244
81	10.94646516
82	10.93183703
83	10.92353714
84	10.908118
85	10.89110165
86	10.8761353
87	10.8629349
88	10.83600272
89	10.81482667
90	10.79090175
91	10.770051
92	10.75772434
93	10.73754503
94	10.72419562
95	10.70889282
96	10.6959573
97	10.68095028
98	10.66634107
99	10.65061775
100	10.64302209
101	10.62768135
102	10.62047845
103	10.60414799
104	10.59513464
105	10.58059663
106	10.56353129
107	10.5499303
108	10.53827799
109	10.52566745
110	10.50490386
111	10.49296039
112	10.47891579
113	10.46409859
114	10.44748749
115	10.43658253
116	10.42805139
117	10.4085915
118	10.39405162
119	10.38387199
120	10.37678812
121	10.36091445
122	10.35423537
123	10.33464616
124	10.32677876
125	10.31129112
126	10.2969197
127	10.28822386
128	10.27063327
129	10.26245549
130	10.25266251
131	10.23984528
132	10.22873574
133	10.21730015
134	10.20536158
135	10.19664839
136	10.18045587
137	10.16969595
138	10.1585648
139	10.15052816
140	10.12869169
141	10.11865714
142	10.09898622
143	10.08726042
144	10.07285858
145	10.0583603
146	10.04965755
147	10.03468583
148	10.02252336
149	10.0121089
150	10.00521035
151	9.999194856
152	9.992737347
153	9.980464122
154	9.972619803
155	9.964860387
156	9.957369532
157	9.943744278
158	9.934394208
159	9.927324214
160	9.917843562
161	9.912193694
162	9.898716852
163	9.887617101
164	9.880457239
165	9.872652776
166	9.861510286
167	9.855229824
168	9.848287657
169	9.839746153
170	9.828784493
171	9.81459829
172	9.807091792
173	9.799906312
174	9.790855038
175	9.776673166
176	9.761995448
177	9.756820144
178	9.748098244
179	9.742270778
180	9.736637275
181	9.720549117
182	9.712422313
183	9.700334897
184	9.693539646
185	9.686930246
186	9.674759224
187	9.66607086
188	9.658704466
189	9.648915174
