iter	Passed	Remaining
0	13	6592
1	17	4278
2	20	3422
3	24	3020
4	28	2868
5	32	2675
6	37	2617
7	41	2526
8	46	2538
9	50	2481
10	54	2414
11	58	2365
12	63	2376
13	68	2377
14	72	2336
15	76	2306
16	82	2334
17	86	2322
18	90	2286
19	96	2319
20	100	2291
21	104	2262
22	108	2240
23	112	2229
24	117	2232
25	121	2214
26	127	2232
27	132	2227
28	135	2208
29	139	2187
30	144	2190
31	148	2178
32	153	2166
33	158	2176
34	162	2154
35	165	2138
36	169	2123
37	175	2136
38	179	2119
39	182	2101
40	186	2088
41	192	2104
42	196	2087
43	200	2073
44	203	2062
45	209	2067
46	213	2055
47	216	2040
48	220	2030
49	226	2039
50	230	2028
51	235	2031
52	240	2030
53	244	2018
54	248	2006
55	252	2000
56	257	2000
57	261	1990
58	264	1978
59	268	1966
60	273	1969
61	276	1956
62	280	1949
63	284	1936
64	289	1938
65	293	1932
66	298	1928
67	302	1919
68	306	1917
69	311	1911
70	314	1902
71	318	1894
72	323	1891
73	327	1887
74	332	1881
75	337	1884
76	341	1875
77	344	1866
78	348	1858
79	354	1860
80	357	1851
81	361	1842
82	365	1837
83	369	1830
84	373	1822
85	376	1813
86	382	1816
87	385	1806
88	389	1799
89	393	1791
90	399	1794
91	403	1787
92	406	1780
93	410	1773
94	416	1774
95	420	1767
96	424	1761
97	427	1753
98	433	1755
99	437	1750
100	441	1743
101	446	1741
102	450	1736
103	454	1729
104	457	1721
105	463	1723
106	467	1717
107	471	1711
108	475	1704
109	481	1707
110	485	1701
111	489	1696
112	496	1699
113	499	1692
114	503	1685
115	510	1688
116	515	1686
117	519	1681
118	524	1678
119	529	1678
120	533	1671
121	537	1665
122	543	1664
123	547	1659
124	550	1651
125	554	1645
126	563	1653
127	567	1648
128	571	1645
129	577	1642
130	580	1635
131	585	1630
132	588	1624
133	594	1622
134	597	1615
135	602	1613
136	608	1612
137	612	1606
138	616	1600
139	619	1593
140	624	1591
141	628	1584
142	632	1578
143	636	1573
144	642	1572
145	646	1566
146	649	1560
147	653	1554
148	659	1553
149	663	1548
150	667	1542
151	673	1541
152	677	1536
153	681	1531
154	691	1539
155	701	1546
156	707	1545
157	711	1540
158	715	1535
159	722	1535
160	727	1532
161	731	1526
162	736	1523
163	740	1517
164	744	1511
165	749	1508
166	756	1507
167	760	1503
168	764	1497
169	769	1493
170	773	1487
171	776	1481
172	780	1475
173	785	1472
174	789	1466
175	793	1460
176	798	1457
177	803	1453
178	807	1447
179	811	1443
180	816	1439
181	820	1434
182	824	1427
183	828	1422
184	832	1418
185	836	1411
186	840	1406
187	846	1404
188	849	1398
189	853	1392
190	857	1387
191	862	1383
192	866	1378
193	870	1372
194	874	1368
195	880	1365
196	883	1359
197	887	1353
198	891	1349
199	895	1343
200	900	1340
201	904	1334
202	910	1332
203	914	1327
204	918	1321
205	924	1318
206	927	1312
207	935	1313
208	942	1311
209	951	1313
210	957	1311
211	963	1309
212	969	1306
213	974	1301
214	977	1295
215	981	1290
216	986	1286
217	990	1280
218	993	1274
219	997	1269
